fix_hash,fix_date,bug_hash,bug_date,project
008ce836ae4833553c1681408e4dd52fa7da14b9,1262356223,1f43ddac49163fb29f715bf43262499a3db5650b,1259337672,GROOVY
cc2ac92a8ad47bd6a1581c8ddc05fb9681320ec4,1262844966,f48f40d514ff6ad0ec7084bb7332bbbe8ff57c09,1206500406,GROOVY
e8c85d7629372d577a4b67631b358434ca4d5074,1262977087,f061a7ab88dd9a989c16b5163a9e9a352df91ad8,1247642670,GROOVY
e8c85d7629372d577a4b67631b358434ca4d5074,1262977087,f219d391785dd79d9e6398cd01d7843a6f52a9e3,1248258845,GROOVY
ef3bdcb414c6ab1a82a670e7659100b95c092ca7,1263191222,9b7baeb8b9b573dacaca55a32a5f319ac78c6e81,1187203374,GROOVY
ef3bdcb414c6ab1a82a670e7659100b95c092ca7,1263191222,159e3c4e0d5117c61771ffc540a9920bca4a6bd6,1245911685,GROOVY
655520c1f55675b2f110650b7bb8ea148b263c9b,1263213008,008c832d79728f995a5301f7b7b0bbf5888c1853,1165004888,GROOVY
655520c1f55675b2f110650b7bb8ea148b263c9b,1263213008,7b3da89aa7961b6b574ac759ee5442838a972fbc,1137629222,GROOVY
655520c1f55675b2f110650b7bb8ea148b263c9b,1263213008,92269dc3df969d6e6ff55ad1bef585f8b95df58d,1164786925,GROOVY
40a05bc5ca1f36365019eb1244f460c38e6d0fe2,1263374805,4b83fcc22be19379a497bac39e46adc8869e0415,1259311803,GROOVY
40a05bc5ca1f36365019eb1244f460c38e6d0fe2,1263374805,6532a8ce6d095a167655b5dcd3747bcdd8c8d6b2,1241872459,GROOVY
9098e027a66682ba2d1c262af0b681e8a61408e3,1264139993,4ce1af5168dbda39e0e2acef536c133f901edee7,1258537944,GROOVY
244adba354e506cf2644f30ac2ddafafe7f6941b,1264586646,253f24e8a37b97994b1b5c4f878c7cb92e16c683,1255333763,GROOVY
4505e5c25e0891c5a219f8b8bf58c50a189a62e9,1264758709,bc1cff008eeec106f260473e056d7154640b9e1d,1264679507,GROOVY
4505e5c25e0891c5a219f8b8bf58c50a189a62e9,1264758709,4b69769c9f17ed70723fc95142adc836fd655b07,1177699853,GROOVY
6cb3938da87a5fe9cee3329aa4f5e488d3377def,1265031268,cec64b3a3df013bb237357a8c27edf00dfad4228,1264084292,GROOVY
83176d7d9f3ed35abf11060ea45457fec4710aaf,1265076153,9332825cc41fc141a9b56aa7f9d853b256edbcd1,1263449960,GROOVY
83176d7d9f3ed35abf11060ea45457fec4710aaf,1265076153,a71e48922e2af32aa1a63f3b8a7c8376c5d0c9f2,1263447209,GROOVY
c3072f8044601944bce5e39e9a369afd4cc14ea9,1265277897,f409b33620a69b3837a584f3551499fd00fad6d5,1164978013,GROOVY
fa9a0df1a015f5cd9fda8bf35b8c9c38830a52f2,1265501512,90c43cd47db24821b2a1b4d50b8b0647af0b379b,1213702812,GROOVY
93001d8f13cb83478bb1abff32d32b2f00120fd8,1265703887,f5626f8a0fdbe13f63dd596b586e509b8c731b45,1255116520,GROOVY
c515f6d2ae0b174ecf0c7ef06eb7552cf490fc91,1265733393,2a96e2d1e2cac3bfb5c202f9e22a5f3dfe8fc065,1164656660,GROOVY
cf31c23c881ef2e97368e6d12956414d819682c6,1265825185,416fe51d7fd2ddd1b22decdf889741c0b2904433,1202169259,GROOVY
17364e513a6a2fc74caede0e62051d681c7a8e24,1265907208,6ee38804a82b0e89ed62108a60ca09d1832f61f4,1260227015,GROOVY
980d18f85ad9cb313543a9533dd868585e17795b,1266385417,dd441dcf109165f852f10e67a842a6aa6db5ade2,1115281301,GROOVY
980d18f85ad9cb313543a9533dd868585e17795b,1266385417,e397f2c027062ddb0a0a3a7391a98845be2afa52,1122636977,GROOVY
980d18f85ad9cb313543a9533dd868585e17795b,1266385417,b715e688f08aafd6fc2287a7123b1d617f08453d,1121864895,GROOVY
980d18f85ad9cb313543a9533dd868585e17795b,1266385417,96281b05fd29c68c20fed3b5183716fcf4c50507,1195140852,GROOVY
980d18f85ad9cb313543a9533dd868585e17795b,1266385417,4712cc77a6fcfea85a4a4c7b510b4c4afe307dd8,1121870179,GROOVY
d76dde05d93ace33747cb2dd0d9bc4976ae8cf7c,1266455094,ec54f9b9f2d8f1c874d247d1a5376d5e21e1cfa5,1231020335,GROOVY
d76dde05d93ace33747cb2dd0d9bc4976ae8cf7c,1266455094,0f645edb09c6b90f66a107e9f2b8defba6765ef7,1256754288,GROOVY
d76dde05d93ace33747cb2dd0d9bc4976ae8cf7c,1266455094,785ea8f8fd57b682a5117ebd7224e7ae9e396dde,1223907248,GROOVY
6fcc969fa66e75d9479c7727ffc959cc68abf41d,1266581988,29e2a9c4629a174c11f043b58c07d8f6b8213a50,1263481504,GROOVY
12125024667d3999192244485148230853782b0b,1266584341,a5affd092eb4f7a141af29c57c67ce2596e661a1,1218398679,GROOVY
5a6735d1c127ff6a0098b246c47598e187ec3092,1266647749,0f4b63227f1d16e3a3074b4e4d567112f9803f53,1138571412,GROOVY
5a24a18c1fcdff278dfec01a632d5d2526ac3ff9,1266926760,8b0e93a7dcc92f4e9b3d5a2dbbee22f98e28378c,1152981318,GROOVY
5a24a18c1fcdff278dfec01a632d5d2526ac3ff9,1266926760,18756913584dd3d2cf96e7ecbe3d5b39cbd4af1d,1161382386,GROOVY
d46a67df14bc1accea3a400c667ead02c45850c7,1267073109,95c5e4cdc09a82644a6c1702b71fca616be2128f,1161748029,GROOVY
d46a67df14bc1accea3a400c667ead02c45850c7,1267073109,a33d645f00add6f8a5d8830be164a50f86c5101a,1071649553,GROOVY
d46a67df14bc1accea3a400c667ead02c45850c7,1267073109,986de73e9f342b5d1ff0366ea9d46593328e6c36,1069752779,GROOVY
