fix_hash,fix_date,bug_hash,bug_date,project
3ce0c1f56cc8a93608b1246b98a7677f9898d045,1262741382,99e59863087d67c4ef1f20e95756ef652cfb20a4,1251840988,HIVE
3ce0c1f56cc8a93608b1246b98a7677f9898d045,1262741382,5a6063861a25e9e48d56d02a1d9122a1e9c1b286,1251138199,HIVE
72a3ae384d1deb0a8e6e6609ddf3517f50aaa2fc,1262820962,65da10218eaac25c47a69f6965002a1ac4bfcac3,1220399939,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,e019ee88eca2d0c1dd4757c2f48190b6be5dd0d8,1253321571,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,e3072cc3dc5ce78be5244bffa3112a2b3c3d17d9,1248382215,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,783735c2fe5110b9d0a89d50603fbaf61fc98b04,1240530244,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,2e027c5b7655c96f5e133fbcac25d97c14a3db03,1249956383,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,eafbecaab24691e1c15201671f27bd88b66a5f04,1224612665,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,d09af540cb0a306fd3f21fe7f91d5127e47e739c,1241561856,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,1d8143c497f8331d75b09dbc1d69a99c679eb7d7,1251755333,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,d719f3def6f7ed7433191ba065919ac75252c797,1259901577,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,ec90cb35e6dc62f85e10cf91b2d6ed9a9976f380,1250750495,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,fc749c010ad9f9ce7b0946d6c391dc666c58bf91,1221759479,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,916e58a92463f27683b0010a94d01b5ff5cb5b10,1252696888,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,65da10218eaac25c47a69f6965002a1ac4bfcac3,1220399939,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,cd18189d4b7d225a14f42934300c576e24ac21d9,1235637315,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,f11c6a68cad0fac1bc413073fe9eac0004cced61,1231812847,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,e76e8c548593a9871307909c1ce5f0b6ca4a14c1,1239345297,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,ff798896df29ce2613ff2e53c6c28d9dce08f72f,1252451125,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,1cd6f8882df0b055c80eced81c555a20d0a1d78e,1262275485,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,037127375d7fb2771bfb1c96569edacfcf6f54f8,1232762281,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,601f872f025443157f6fdaeacead23fcb0ff24e3,1249661821,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,46ca87a108fff4d858b4e6490a840533049c110f,1260547466,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,2498618933861e7a9d7d5da0ebfaa1cfa30dce59,1248383758,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,8bc0920b2010fe2ec835266f4de63fde608a7819,1226368206,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,eea39f62cb5db3e9f295a89e3efe2a0fca5c1bf8,1254774404,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,31ddc381eff97d6edffcd8d395748ff9ebc3475e,1258610254,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,6ae37475e2891d2ab1f4a1328f2654bac7c5252c,1248744301,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,5881e847ac5afb4433a04bad074d8ac40e67d01b,1254731658,HIVE
4bdf50cfe3f860930f757796a1717183fb1fc89c,1262901273,1efbe62265a2edf099f253e4d7bd68b4917896c8,1241023654,HIVE
