commit_id,project,buggy,fix,date
0002032eae73d881d58feeb59294e8e15f354d5e,apache/flink,True,True,1563878454
0005467e3f5211378c2932f0ebc9b5b2c73d565a,apache/ignite,True,False,1562157847
000596f7c3074c7fbd490a47ac43be6229993941,apache/hbase,True,True,1382111826
00067895a01c66d53715b50bbcb3605efd6425f2,apache/hadoop-hdfs,True,False,1391138505
0007360c3344b3485fa17de0fd2015a628de947c,apache/hadoop-hdfs,True,True,1476470489
000a84cb4afce33e6d6601f65955f2de9924cf8a,apache/hbase,True,False,1521010804
000b5d53d0d4fe33f3bf9f31edc35f8c3eaa26b1,apache/flink,True,False,1434315564
000b71efd795031f8f3aed114e2ce662c7195987,apache/ignite,False,True,1516721404
000e0ff04ce0d80281e4a8616646e0d215d400b0,apache/cassandra,False,True,1296006713
000e12f6fa114dfa45377df23acf552e66410838,apache/hadoop-mapreduce,True,False,1448237887
000f4ba1cccf9821b2a788ac32ec713b53659077,apache/ignite,False,True,1670310911
000fd182c06181806ff71f4d3c7867dc84f59d8f,apache/hive,False,True,1296525942
00105cb06d590326aa69f3544cb2b070d9121548,apache/camel,False,True,1678521892
0011a3dc337a41ceb21b1567db7bdc3219a07552,apache/kafka,True,False,1489182184
00139554ffdcfaae07970a2281b6dcec8cec0af4,apache/ignite,True,False,1458656919
001a26d404ca39ab6dbb9efeb59c08f20938f112,apache/hbase,True,True,1482983641
001afa8ebec2a1b5fd05319b02f7d3eb6410ab8e,apache/kafka,True,False,1628195178
001c445d7575b62658c0420dd470d0a1c38a258b,apache/hbase,False,True,1345138859
001eb0694a70b267e51a5b006ba13379713ba3f5,apache/hbase,False,True,1448667125
0020e417cfaf36da513c2063dc081514498a1597,apache/ignite,True,False,1534940887
0021d35ee77cef59cc7ca9b37a1389791ded26e1,apache/cassandra,False,True,1303510684
0023f15d0887a273ef88a678647de384dc0b529e,apache/ignite,False,True,1548437971
00243ea430ece6fcf6d3d7b73f4b7605100aace2,apache/zeppelin,True,True,1497708129
0026e4eeec23367c74c44b23a9586562b939f6f8,apache/cassandra,True,True,1473695325
002b377dad9c956cd0ae0597981f29698883b6d5,apache/kafka,True,False,1456940434
002dd6968b89ded6a77858ccb50c9b2df074c226,apache/hadoop-hdfs,True,True,1318555460
