fix_hash,fix_date,bug_hash,bug_date,project
c0e76bc0cc296b23df98491ea730a73b43577ddf,1402429298,2dd2cb7aaed4394cf1749d7992e46b2a94617e13,1386431159,FLINK
c0e76bc0cc296b23df98491ea730a73b43577ddf,1402429298,ddc1dc9da5b2cf6b0b54b943510d6ddb35fa4657,1394130894,FLINK
c0e76bc0cc296b23df98491ea730a73b43577ddf,1402429298,b31ae3ac3533441d2aa687ef11d3e637a32846ce,1400346377,FLINK
e43c165f06f82340aefe00e15909607178450dd9,1402607270,7ff83012c0510ab100f283d299bd6c9674b5fabe,1396374975,FLINK
e43c165f06f82340aefe00e15909607178450dd9,1402607270,a146eac36d0275dc9b41940f51dad570efa85076,1396703653,FLINK
c81d7b02e0affb875af2851fc7c611a1976d69a1,1402662483,2db78a8dc1a4664f3e384005d7e07bea594b835b,1402126881,FLINK
c81d7b02e0affb875af2851fc7c611a1976d69a1,1402662483,4cd4a13415d609a2979c8fa3cf4b797c990ee8c2,1402126881,FLINK
ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,1402963657,525cb03668b6f6a6bdb4c5c91d350d2e1670c319,1395579092,FLINK
ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,1402963657,ed7c3f156ec632af6f5764fad8650a771b69c1d7,1402963657,FLINK
ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,1402963657,d39a0ec5d9b1264ba8766b2ed1343c7ce2003f37,1367200882,FLINK
ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,1402963657,0b28a5b9b105fbe83e5cc91019a85fbc0a62cb3f,1357759009,FLINK
ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,1402963657,2f1050f7e0505dc9bd23e417be9d6d208065eb2a,1393981723,FLINK
ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,1402963657,c561a51c132cb1b528a81ea3a71835fcb1c6c768,1402607238,FLINK
ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,1402963657,4cd4a13415d609a2979c8fa3cf4b797c990ee8c2,1402126881,FLINK
ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,1402963657,a83683a00f8d27988653e6eb0966a682ddefe498,1402607238,FLINK
ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,1402963657,31a373930bce27a0d4abc2cbcff4284d5af9002a,1402963657,FLINK
ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,1402963657,b0fbce71030c7bd171f5ebd464b1a0d94961c270,1398441248,FLINK
ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,1402963657,533bcc62e669069c00ee690a6942f1dbc387b4dd,1392329680,FLINK
ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,1402963657,80551cb783a5e3bf47c20f6c1b4059dd8c691220,1382976626,FLINK
ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,1402963657,e2f2aa0cd3ff0ecde7f4c017317055488cd656f6,1359320029,FLINK
ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,1402963657,bf327eb862b2b3ebc4266dcd5be50c13877b37ad,1360415137,FLINK
6a549325f3c1e98b4c353e9bec6f951affb95bc9,1403007804,7fe59e9072e925fddb735d85110f6b85996b28ca,1394703941,FLINK
6a549325f3c1e98b4c353e9bec6f951affb95bc9,1403007804,1e2497b41d41d231f82439d84b8caeafc8fbb041,1387374028,FLINK
a70de7e3faef8afea0134c8fed1240d742cccb3d,1403008997,93c4b9ae8d633efd49d02dc1702185f670f9c6e7,1399565087,FLINK
a70de7e3faef8afea0134c8fed1240d742cccb3d,1403008997,2db78a8dc1a4664f3e384005d7e07bea594b835b,1402126881,FLINK
a70de7e3faef8afea0134c8fed1240d742cccb3d,1403008997,b0f8ba06953f978516044db220a89cacbcbb2d5c,1402126882,FLINK
a70de7e3faef8afea0134c8fed1240d742cccb3d,1403008997,ca2b287a7a78328ebf43766b9fdf39b56fb5fd4f,1402963657,FLINK
a70de7e3faef8afea0134c8fed1240d742cccb3d,1403008997,4cd4a13415d609a2979c8fa3cf4b797c990ee8c2,1402126881,FLINK
a70de7e3faef8afea0134c8fed1240d742cccb3d,1403008997,1aab122b8a467cc53c52df91dd28514ff304076b,1398447925,FLINK
a70de7e3faef8afea0134c8fed1240d742cccb3d,1403008997,2cbb93a436eaa78591677ca5ac3886f94471f485,1398447929,FLINK
a70de7e3faef8afea0134c8fed1240d742cccb3d,1403008997,a6cbd9408ee7c5859d7ba0599c2554551bceca80,1386598048,FLINK
a70de7e3faef8afea0134c8fed1240d742cccb3d,1403008997,9624875dc82850c01b7927c415d280ba832f2182,1368445484,FLINK
a70de7e3faef8afea0134c8fed1240d742cccb3d,1403008997,c81d7b02e0affb875af2851fc7c611a1976d69a1,1402662483,FLINK
a70de7e3faef8afea0134c8fed1240d742cccb3d,1403008997,21db751647abc0d65fb428be361e28a69bbcda54,1365887293,FLINK
a70de7e3faef8afea0134c8fed1240d742cccb3d,1403008997,6d8fea9602c7cd248ac29d9d5c2c2f1ade42c73f,1402126881,FLINK
4b9c71d35fb4a630a4f5024e37c8c1396721ba4e,1403084248,cc8e16ebd53500c146dd9826436f983d3f243151,1395781854,FLINK
5c23b8fc332f8f92fda36233b45dfa88fb86ede6,1403109981,e6911e75f183bf7352ab3e09396365bdc1231230,1391074472,FLINK
5c23b8fc332f8f92fda36233b45dfa88fb86ede6,1403109981,31bae021b7639e2cba52c50df650cdd8f8677c08,1391074473,FLINK
b2bd4697af1984a00af3ded443b93528cf146769,1403110450,6a549325f3c1e98b4c353e9bec6f951affb95bc9,1403007804,FLINK
9ecb6df76ca5e7a42d0d62b1c9dca41e9e7ecd1b,1403117512,fc6b5168684ca298d8b025c839d9a4e48e470790,1386986970,FLINK
9ecb6df76ca5e7a42d0d62b1c9dca41e9e7ecd1b,1403117512,ffbcf3f2c08292a70bbc85d63e063403b7659edb,1336396599,FLINK
9ecb6df76ca5e7a42d0d62b1c9dca41e9e7ecd1b,1403117512,5fa5e50205afb41ebc39f197da07e87c0fdd0334,1403110998,FLINK
9ecb6df76ca5e7a42d0d62b1c9dca41e9e7ecd1b,1403117512,00c1980992d395574324abf5dd26a100bf618a8d,1336611247,FLINK
9ecb6df76ca5e7a42d0d62b1c9dca41e9e7ecd1b,1403117512,7c4c4a9d2fbc7b2ffdbd4668a36c21d503c672b2,1403108951,FLINK
2f0bd8fa26f5ed13d5f116b296557df8207a8260,1403684754,8c1d82a8ec674de6525319501c6be2674e3143f1,1403464041,FLINK
2f0bd8fa26f5ed13d5f116b296557df8207a8260,1403684754,4cd4a13415d609a2979c8fa3cf4b797c990ee8c2,1402126881,FLINK
